subj_id,testing_booth,age,gender,handedness,olife_q1,olife_q2,olife_q3,olife_q4,olife_q5,olife_q6,olife_q7,olife_q8,olife_q9,olife_q10,olife_q11,olife_q12,olife_q13,olife_q14,olife_q15,olife_q16,olife_q17,olife_q18,olife_q19,olife_q20,olife_q21,olife_q22,olife_q23,olife_q24,olife_q25,olife_q26,olife_q27,olife_q28,olife_q29,olife_q30,olife_q31,olife_q32,olife_q33,olife_q34,olife_q35,olife_q36,olife_q37,olife_q38,olife_q39,olife_q40,olife_q41,olife_q42,olife_q43,olife_q44,olife_q45,olife_q46,olife_q47,olife_q48,olife_q49,olife_q50,olife_q51,olife_q52,olife_q53,olife_q54,olife_q55,olife_q56,olife_q57,olife_q58,olife_q59,olife_q60,olife_q61,olife_q62,olife_q63,olife_q64,olife_q65,olife_q66,olife_q67,olife_q68,olife_q69,olife_q70,olife_q71,olife_q72,olife_q73,olife_q74,olife_q75,olife_q76,olife_q77,olife_q78,olife_q79,olife_q80,olife_q81,olife_q82,olife_q83,olife_q84,olife_q85,olife_q86,olife_q87,olife_q88,olife_q89,olife_q90,olife_q91,olife_q92,olife_q93,olife_q94,olife_q95,olife_q96,olife_q97,olife_q98,olife_q99,olife_q100,olife_q101,olife_q102,olife_q103,olife_q104,notes
p1001,12,18,F,R,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,
p1002,12,18,F,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Didn't complete practice trial
p1003,13,19,F,R,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,
p1004,12,20,F,R,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,
p1005,13,19,M,R,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,
p1006,12,18,F,R,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,
p1007,13,20,M,R,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,Y,
p1008,12,18,F,R,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,
p1009,13,18,F,R,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,N,
p1010,12,18,F,R,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,
p1011,13,19,M,L,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,"Task inexplicably stopped at start of run 5, participant waited 15min. Restarted at 14:30 from run 5"
p1012,12,19,F,R,N,Y,Y,N,N,N,A,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,Y,
p1013,13,21,M,R,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,
